ID_str,SectionNum,Section,Circumstance,Phraseology,Sender,Receiver,Type,Example,Keywords,Slots
12.3.1.2-o,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Maintain own separation above/below/to level,"“MAINTAIN OWN SEPARATION AND VMC ABOVE (or BELOW, or TO) (level).”",ATC,Pilot,Clearance (VMC),“MAINTAIN OWN SEPARATION AND VMC BELOW FL 90.”,MAINTAIN OWN SEPARATION VMC ABOVE BELOW,"or BELOW, or TO, level"
12.3.1.2-p,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",When compliance doubtful,“IF UNABLE (alternative instructions) AND ADVISE.”,ATC,Pilot,Contingency Instruction,“IF UNABLE MAINTAIN LEVEL FL 250 AND ADVISE.”,UNABLE ADVISE,alternative instructions
12.3.1.2-p,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,When compliance doubtful,“IF UNABLE (alternative instructions) AND ADVISE.”,ATC,Pilot,Contingency Instruction,“IF UNABLE MAINTAIN LEVEL FL 250 AND ADVISE.”,UNABLE ADVISE,alternative instructions
12.3.1.2-q,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Pilot unable to comply,“UNABLE.”,Pilot,ATC,Report / Refusal,“UNABLE DUE TURBULENCE.”,UNABLE,
12.3.1.2-q,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Pilot unable to comply,“UNABLE.”,Pilot,ATC,Report / Refusal,“UNABLE DUE TURBULENCE.”,UNABLE,
12.3.1.2-r,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Pilot reports TCAS Resolution Advisory (RA),“TCAS RA.”,Pilot,ATC,Safety Alert,“TCAS RA.”,TCAS,
12.3.1.2-r,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Pilot reports TCAS Resolution Advisory (RA),“TCAS RA.”,Pilot,ATC,Safety Alert,“TCAS RA.”,TCAS,
12.3.1.2-s,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Controller acknowledges RA,“ROGER.”,ATC,Pilot,Acknowledgement,“ROGER TCAS RA.”,ROGER,
12.3.1.2-s,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Controller acknowledges RA,“ROGER.”,ATC,Pilot,Acknowledgement,“ROGER TCAS RA.”,ROGER,
12.3.1.2-t,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates","Pilot reports clear of conflict, returning to clearance","“CLEAR OF CONFLICT, RETURNING TO (assigned clearance).”",Pilot,ATC,Report (post-RA),"“CLEAR OF CONFLICT, RETURNING TO ASSIGNED LEVEL.”",CLEAR CONFLICT RETURNING,assigned clearance
12.3.1.2-t,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,"Pilot reports clear of conflict, returning to clearance","“CLEAR OF CONFLICT, RETURNING TO (assigned clearance).”",Pilot,ATC,Report (post-RA),"“CLEAR OF CONFLICT, RETURNING TO ASSIGNED LEVEL.”",CLEAR CONFLICT RETURNING,assigned clearance
12.3.1.2-u,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Controller acknowledges return,“ROGER (or alternative instructions).”,ATC,Pilot,Acknowledgement,“ROGER.”,ROGER,or alternative instructions
12.3.1.2-u,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Controller acknowledges return,“ROGER (or alternative instructions).”,ATC,Pilot,Acknowledgement,“ROGER.”,ROGER,or alternative instructions
12.3.1.2-v,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Pilot reports assigned clearance resumed,“CLEAR OF CONFLICT (assigned clearance) RESUMED.”,Pilot,ATC,Report (post-RA),"“CLEAR OF CONFLICT, CLEARANCE RESUMED.”",CLEAR CONFLICT RESUMED,assigned clearance
12.3.1.2-v,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Pilot reports assigned clearance resumed,“CLEAR OF CONFLICT (assigned clearance) RESUMED.”,Pilot,ATC,Report (post-RA),"“CLEAR OF CONFLICT, CLEARANCE RESUMED.”",CLEAR CONFLICT RESUMED,assigned clearance
12.3.1.2-w,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Controller acknowledges post-RA resume,“ROGER (or alternative instructions).”,ATC,Pilot,Acknowledgement,—,ROGER,or alternative instructions
12.3.1.2-w,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Controller acknowledges post-RA resume,“ROGER (or alternative instructions).”,ATC,Pilot,Acknowledgement,—,ROGER,or alternative instructions
12.3.1.2-x,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Pilot unable due TCAS RA contradictory to ATC,"“UNABLE, TCAS RA.”",Pilot,ATC,Safety Report,"“UNABLE, TCAS RA.”",UNABLE TCAS,
12.3.1.2-x,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Pilot unable due TCAS RA contradictory to ATC,"“UNABLE, TCAS RA.”",Pilot,ATC,Safety Report,"“UNABLE, TCAS RA.”",UNABLE TCAS,
12.3.1.2-y,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Controller acknowledgment of 12.3.1.2-x,“ROGER.”,ATC,Pilot,Acknowledgement,“ROGER UNABLE TCAS RA.”,ROGER,
12.3.1.2-y,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Controller acknowledgment of 12.3.1.2-x,“ROGER.”,ATC,Pilot,Acknowledgement,“ROGER UNABLE TCAS RA.”,ROGER,
12.3.1.2-z,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Clearance to climb on a SID with restrictions,“CLIMB VIA SID TO (level).”,ATC,Pilot,Clearance,“CLIMB VIA SID TO FL 350.”,CLIMB VIA SID,level
12.3.1.2-z,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Clearance to climb on a SID with restrictions,“CLIMB VIA SID TO (level).”,ATC,Pilot,Clearance,“CLIMB VIA SID TO FL 350.”,CLIMB VIA SID,level
12.3.1.3-b,12.3.1.3,12.3.1.3 Minimum Fuel,Controller acknowledges minimum fuel,“ROGER [NO DELAY EXPECTED or EXPECT (delay information)].”,ATC,Pilot,Acknowledgement / Information,“ROGER NO DELAY EXPECTED.”,ROGER DELAY EXPECTED EXPECT,delay information
12.3.1.4-b,12.3.1.4,12.3.1.4 Transfer of Control / Frequency Change,Instruct contact at time / position / level,“AT (or OVER) (time or place) [or WHEN PASSING/LEAVING/REACHING (level)] CONTACT (unit) (frequency).”,ATC,Pilot,Conditional Instruction,“WHEN PASSING FL 120 CONTACT BUDAPEST APPROACH 119.3.”,OVER WHEN PASSING LEAVING REACHING CONTACT,"or OVER, time or place, level, unit, frequency"
12.3.1.4-c,12.3.1.4,12.3.1.4 Transfer of Control / Frequency Change,If no contact then alternative instructions,“IF NO CONTACT (instructions).”,ATC,Pilot,Contingency,"“IF NO CONTACT, RETURN TO THIS FREQUENCY.”",CONTACT,instructions
12.3.1.4-d,12.3.1.4,12.3.1.4 Transfer of Control / Frequency Change,Advise standby for frequency change,“STAND BY FOR (unit call sign) (frequency).”,ATC,Pilot,Information / Preparation,“STAND BY FOR VIENNA CONTROL 118.525.”,STAND,"unit call sign, frequency"
12.3.1.4-f,12.3.1.4,12.3.1.4 Transfer of Control / Frequency Change,Frequency change approved,“FREQUENCY CHANGE APPROVED.”,ATC,Pilot,Clearance,—,FREQUENCY CHANGE APPROVED,
12.3.1.4-g,12.3.1.4,12.3.1.4 Transfer of Control / Frequency Change,Instruct to monitor frequency,“MONITOR (unit call sign) (frequency).”,ATC,Pilot,Instruction,“MONITOR BUDAPEST INFORMATION 124.7.”,MONITOR,"unit call sign, frequency"
12.3.1.4-h,12.3.1.4,12.3.1.4 Transfer of Control / Frequency Change,Pilot confirms monitoring,“MONITORING (frequency).”,Pilot,ATC,Confirmation,“MONITORING 124.7.”,MONITORING,frequency
12.3.1.4-i,12.3.1.4,12.3.1.4 Transfer of Control / Frequency Change,Deferred contact instruction,“WHEN READY CONTACT (unit call sign) (frequency).”,ATC,Pilot,Instruction,“WHEN READY CONTACT VIENNA CONTROL 128.05.”,WHEN READY CONTACT,"unit call sign, frequency"
12.3.1.4-j,12.3.1.4,12.3.1.4 Transfer of Control / Frequency Change,Remain on present frequency,“REMAIN THIS FREQUENCY.”,ATC,Pilot,Instruction,“REMAIN THIS FREQUENCY.”,REMAIN THIS FREQUENCY,
12.3.1.5-b,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Pilot confirms 8.33 capability,“AFFIRM EIGHT POINT THREE THREE.”,Pilot,ATC,Report,—,AFFIRM EIGHT POINT THREE,
12.3.1.5-c,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Pilot reports lack of 8.33 capability,“NEGATIVE EIGHT POINT THREE THREE.”,Pilot,ATC,Report,—,NEGATIVE EIGHT POINT THREE,
12.3.1.5-d,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Request UHF capability,“CONFIRM UHF.”,ATC,Pilot,Query,—,CONFIRM UHF,
12.3.1.5-e,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Pilot confirms UHF capability,“AFFIRM UHF.”,Pilot,ATC,Report,—,AFFIRM UHF,
12.3.1.5-f,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Pilot reports no UHF capability,“NEGATIVE UHF.”,Pilot,ATC,Report,—,NEGATIVE UHF,
12.3.1.5-g,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Request 8.33 exemption status,“CONFIRM EIGHT POINT THREE THREE EXEMPTED.”,ATC,Pilot,Query,—,CONFIRM EIGHT POINT THREE EXEMPTED,
12.3.1.5-h,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Pilot reports exempted,“AFFIRM EIGHT POINT THREE THREE EXEMPTED.”,Pilot,ATC,Report,—,AFFIRM EIGHT POINT THREE EXEMPTED,
12.3.1.5-i,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Pilot reports not exempted,“NEGATIVE EIGHT POINT THREE THREE EXEMPTED.”,Pilot,ATC,Report,—,NEGATIVE EIGHT POINT THREE EXEMPTED,
12.3.1.5-j,12.3.1.5,12.3.1.5 8.33 kHz Channel Spacing,Controller issues clearance due 8.33 requirement,“DUE EIGHT POINT THREE THREE REQUIREMENT.”,ATC,Pilot,Explanation,—,DUE EIGHT POINT THREE REQUIREMENT,
12.3.1.6-b,12.3.1.6,12.3.1.6 Change of Call Sign,Revert to flight plan call sign,“REVERT TO FLIGHT PLAN CALL SIGN (call sign) [AT (point)].”,ATC,Pilot,Instruction,“REVERT TO FLIGHT PLAN CALL SIGN KLM 245 AT PEST.”,REVERT FLIGHT PLAN CALL SIGN,"call sign, point"
12.3.1.7-b,12.3.1.7,12.3.1.7 Traffic Information,No reported traffic,“NO REPORTED TRAFFIC.”,ATC,Pilot,Information,—,REPORTED TRAFFIC,
12.3.1.7-c,12.3.1.7,12.3.1.7 Traffic Information,Pilot acknowledges traffic info,“LOOKING OUT.”,Pilot,ATC,Acknowledgement,—,LOOKING OUT,
12.3.1.7-d,12.3.1.7,12.3.1.7 Traffic Information,Pilot reports visual contact,“TRAFFIC IN SIGHT.”,Pilot,ATC,Report,—,TRAFFIC SIGHT,
12.3.1.7-e,12.3.1.7,12.3.1.7 Traffic Information,Pilot has no visual contact,“NEGATIVE CONTACT [reasons].”,Pilot,ATC,Report,“NEGATIVE CONTACT DUE HAZE.”,NEGATIVE CONTACT,
12.3.1.7-f,12.3.1.7,12.3.1.7 Traffic Information,Provide additional traffic details,“[ADDITIONAL] TRAFFIC (direction) BOUND (type) (level) ESTIMATED (or OVER) (point) AT (time).”,ATC,Pilot,Information,“TRAFFIC NORTHBOUND A320 FL330 OVER PEST AT 12:45.”,ADDITIONAL TRAFFIC BOUND ESTIMATED OVER,"direction, type, level, or OVER, point, time"
12.3.1.7-g,12.3.1.7,12.3.1.7 Traffic Information,Report unmanned balloon traffic,“TRAFFIC IS (classification) UNMANNED FREE BALLOON(S) WAS/ESTIMATED OVER (place) AT (time) REPORTED (level(s)) MOVING (direction).”,ATC,Pilot,Information,“TRAFFIC IS UNMANNED FREE BALLOON ESTIMATED OVER BRNO AT 1100 MOVING SOUTH.”,TRAFFIC UNMANNED FREE BALLOON WAS ESTIMATED OVER REPORTED MOVING,"classification, place, time, level(s, direction"
12.3.1.8-b,12.3.1.8,12.3.1.8 Meteorological Conditions,Report wind at altitude,“WIND AT (level) (number) DEGREES (number) KILOMETRES PER HOUR (or KNOTS).”,ATC,Pilot,Weather Information,“WIND AT 5000 FEET 250 DEGREES 25 KNOTS.”,WIND DEGREES KILOMETRES PER HOUR KNOTS,"level, number, or KNOTS"
12.3.1.8-c,12.3.1.8,12.3.1.8 Meteorological Conditions,Report visibility,“VISIBILITY (distance) (units) [direction].”,ATC,Pilot,Weather,“VISIBILITY 3 KILOMETRES NORTH.”,VISIBILITY,"distance, units"
12.3.1.8-d,12.3.1.8,12.3.1.8 Meteorological Conditions,Report runway visual range,“RUNWAY VISUAL RANGE RUNWAY (number) (distance) (units).”,ATC,Pilot,Weather,“RVR RUNWAY 31 900 METRES.”,RUNWAY VISUAL RANGE,"number, distance, units"
12.3.1.8-e,12.3.1.8,12.3.1.8 Meteorological Conditions,RVR not available,“RUNWAY VISUAL RANGE RUNWAY (number) NOT AVAILABLE (or NOT REPORTED).”,ATC,Pilot,Weather,“RVR RUNWAY 31 NOT REPORTED.”,RUNWAY VISUAL RANGE NOT AVAILABLE REPORTED,"number, or NOT REPORTED"
12.3.1.8-f,12.3.1.8,12.3.1.8 Meteorological Conditions,Multiple RVR observations,"“RUNWAY VISUAL RANGE RUNWAY (number) (first pos) (distance), (second pos) (distance), (third pos) (distance).”",ATC,Pilot,Weather,"“RVR RUNWAY 31 900, 850, 800 METRES.”",RUNWAY VISUAL RANGE,"number, first pos, distance, second pos, third pos"
12.3.1.8-g,12.3.1.8,12.3.1.8 Meteorological Conditions,One RVR position not available,"“RUNWAY VISUAL RANGE RUNWAY (number) (first pos) (distance), (second pos) NOT AVAILABLE, (third pos) (distance).”",ATC,Pilot,Weather,"“RVR RUNWAY 31 900, NOT AVAILABLE, 700 METRES.”",RUNWAY VISUAL RANGE NOT AVAILABLE,"number, first pos, distance, second pos, third pos"
12.3.1.8-h,12.3.1.8,12.3.1.8 Meteorological Conditions,Report present weather,“PRESENT WEATHER (details).”,ATC,Pilot,Weather,“PRESENT WEATHER LIGHT RAIN.”,PRESENT WEATHER,details
12.3.1.8-i,12.3.1.8,12.3.1.8 Meteorological Conditions,Report cloud amount/type/height,"“CLOUD (amount, type, and height of base) (units) or SKY CLEAR.”",ATC,Pilot,Weather,“CLOUD SCATTERED 1000 FEET.”,CLOUD SKY CLEAR,"amount, type, and height of base, units"
12.3.1.8-j,12.3.1.8,12.3.1.8 Meteorological Conditions,Report clear weather,“CAVOK.”,ATC,Pilot,Weather,“CAVOK.”,CAVOK,
12.3.1.8-k,12.3.1.8,12.3.1.8 Meteorological Conditions,Report temperature/dewpoint,“TEMPERATURE [MINUS] (number) and/or DEWPOINT [MINUS] (number).”,ATC,Pilot,Weather,“TEMPERATURE MINUS 2.”,TEMPERATURE MINUS DEWPOINT,number
12.3.1.8-l,12.3.1.8,12.3.1.8 Meteorological Conditions,Report QNH,“QNH (number) [units].”,ATC,Pilot,Weather,“QNH 1013.”,QNH,number
12.3.1.8-m,12.3.1.8,12.3.1.8 Meteorological Conditions,Report QFE,“QFE (number) [(units)].”,ATC,Pilot,Weather,“QFE 1005.”,QFE,"number, units"
12.3.1.8-n,12.3.1.8,12.3.1.8 Meteorological Conditions,Aircraft reports icing/turbulence,“(Aircraft type) REPORTED (description) ICING (or TURBULENCE) [IN CLOUD] (area) (time).”,ATC,Pilot,Weather Advisory,“A320 REPORTED MODERATE TURBULENCE NORTH OF WIEN 1215.”,REPORTED ICING TURBULENCE CLOUD,"Aircraft type, description, or TURBULENCE, area, time"
12.3.1.8-o,12.3.1.8,12.3.1.8 Meteorological Conditions,Request flight conditions,“REPORT FLIGHT CONDITIONS.”,ATC,Pilot,Request,“REPORT FLIGHT CONDITIONS.”,REPORT FLIGHT CONDITIONS,
12.3.1.9-b,12.3.1.9,12.3.1.9 Position Reporting,Omit position reports until specific point,“OMIT POSITION REPORTS [UNTIL (specify)].”,ATC,Pilot,Instruction,“OMIT POSITION REPORTS UNTIL DEBRECEN.”,OMIT POSITION REPORTS UNTIL,specify
12.3.1.9-c,12.3.1.9,12.3.1.9 Position Reporting,Resume position reporting,“RESUME POSITION REPORTING.”,ATC,Pilot,Instruction,“RESUME POSITION REPORTING.”,RESUME POSITION REPORTING,
12.3.2.1-b,12.3.2.1,12.3.2.1 Issuance of a Clearance,Alternate clearance phrasing,“(aircraft call sign) CLEARED TO (point or destination).”,ATC,Pilot,Clearance,“KLM123 CLEARED TO VIENNA.”,CLEARED,"aircraft call sign, point or destination"
12.3.2.1-c,12.3.2.1,12.3.2.1 Issuance of a Clearance,Amended clearance,“RECLEARED (amended clearance details) [REST OF CLEARANCE UNCHANGED].”,ATC,Pilot,Clearance Amendment,"“RECLEARED VIA NOVEMBER, REST UNCHANGED.”",RECLEARED REST CLEARANCE UNCHANGED,amended clearance details
12.3.2.1-d,12.3.2.1,12.3.2.1 Issuance of a Clearance,Amended route to specific point,“RECLEARED (amended route portion) TO (significant point) [REST OF CLEARANCE UNCHANGED].”,ATC,Pilot,Clearance Amendment,“RECLEARED VIA LOMED TO NAPRO.”,RECLEARED REST CLEARANCE UNCHANGED,"amended route portion, significant point"
12.3.2.1-e,12.3.2.1,12.3.2.1 Issuance of a Clearance,Enter controlled airspace,“ENTER CONTROLLED AIRSPACE (or CONTROL ZONE) [VIA (point or route)] AT (level) [AT (time)].”,ATC,Pilot,Clearance,“ENTER CONTROLLED AIRSPACE VIA SOPAV AT FL 100.”,ENTER CONTROLLED AIRSPACE CONTROL ZONE VIA,"or CONTROL ZONE, point or route, level, time"
12.3.2.1-f,12.3.2.1,12.3.2.1 Issuance of a Clearance,Leave controlled airspace,"“LEAVE CONTROLLED AIRSPACE [VIA (point or route)] AT (level) (or CLIMBING, or DESCENDING).”",ATC,Pilot,Clearance,“LEAVE CONTROLLED AIRSPACE VIA PUSTA DESCENDING FL 80.”,LEAVE CONTROLLED AIRSPACE VIA CLIMBING DESCENDING,"point or route, level, or CLIMBING, or DESCENDING"
12.3.2.1-g,12.3.2.1,12.3.2.1 Issuance of a Clearance,Join route or airway,“JOIN (route) AT (point) AT (level) [AT (time)].”,ATC,Pilot,Instruction,“JOIN AIRWAY L604 AT GILEP AT FL 140.”,JOIN,"route, point, level, time"
12.3.2.2-b,12.3.2.2,12.3.2.2 Indication of Route and Clearance Limit,Indicate clearance limit,"“TO (location),” followed by details.",ATC,Pilot,Route Specification,“TO VIENNA.”,,location
12.3.2.2-b1,12.3.2.2,12.3.2.2 Indication of Route and Clearance Limit,Direct routing,“DIRECT.”,ATC,Pilot,Route Instruction,“DIRECT GILEP.”,DIRECT,
12.3.2.2-b2,12.3.2.2,12.3.2.2 Indication of Route and Clearance Limit,Via specific route or point,“VIA (route and/or significant points).”,ATC,Pilot,Route Instruction,"“VIA NOVEMBER, NAPRO.”",VIA,route and/or significant points
12.3.2.2-b3,12.3.2.2,12.3.2.2 Indication of Route and Clearance Limit,Via flight planned route,“FLIGHT PLANNED ROUTE.”,ATC,Pilot,Route Instruction,“FLIGHT PLANNED ROUTE.”,FLIGHT PLANNED ROUTE,
12.3.2.2-b4,12.3.2.2,12.3.2.2 Indication of Route and Clearance Limit,Specify DME arc,“VIA (distance) DME ARC (direction) OF (DME station).”,ATC,Pilot,Route Instruction,“VIA 15 DME ARC EAST OF PEST DME.”,VIA DME ARC,"distance, direction, DME station"
12.3.2.2-c,12.3.2.2,12.3.2.2 Indication of Route and Clearance Limit,"Route unavailable, provide alternative",“(route) NOT AVAILABLE DUE (reason) ALTERNATIVE[S] (routes) ADVISE.”,ATC,Pilot,Route Advisory,"“L604 NOT AVAILABLE DUE CONGESTION, ALTERNATIVE M985 ADVISE.”",NOT AVAILABLE DUE ALTERNATIVE ADVISE,"route, reason, routes"
12.3.2.3-b,12.3.2.3,12.3.2.3 Maintenance of Specified Levels,Maintain until passing point,“MAINTAIN (level) UNTIL PASSING (point).”,ATC,Pilot,Instruction,“MAINTAIN FL 120 UNTIL PASSING DEBRECEN.”,MAINTAIN UNTIL PASSING,"level, point"
12.3.2.3-c,12.3.2.3,12.3.2.3 Maintenance of Specified Levels,Maintain until minutes after passing,“MAINTAIN (level) UNTIL (minutes) AFTER PASSING (point).”,ATC,Pilot,Instruction,“MAINTAIN FL 120 UNTIL 5 MINUTES AFTER PASSING PUSTA.”,MAINTAIN UNTIL AFTER PASSING,"level, minutes, point"
12.3.2.3-d,12.3.2.3,12.3.2.3 Maintenance of Specified Levels,Maintain until time,“MAINTAIN (level) UNTIL (time).”,ATC,Pilot,Instruction,“MAINTAIN FL 120 UNTIL 11:25.”,MAINTAIN UNTIL,"level, time"
12.3.2.3-e,12.3.2.3,12.3.2.3 Maintenance of Specified Levels,Maintain until advised by next unit,“MAINTAIN (level) UNTIL ADVISED BY (unit).”,ATC,Pilot,Instruction,“MAINTAIN FL 100 UNTIL ADVISED BY VIENNA CONTROL.”,MAINTAIN UNTIL ADVISED,"level, unit"
12.3.2.3-f,12.3.2.3,12.3.2.3 Maintenance of Specified Levels,Maintain until further advised,“MAINTAIN (level) UNTIL FURTHER ADVISED.”,ATC,Pilot,Instruction,—,MAINTAIN UNTIL FURTHER ADVISED,level
12.3.2.3-g,12.3.2.3,12.3.2.3 Maintenance of Specified Levels,Maintain while in controlled airspace,“MAINTAIN (level) WHILE IN CONTROLLED AIRSPACE.”,ATC,Pilot,Instruction,—,MAINTAIN WHILE CONTROLLED AIRSPACE,level
12.3.2.3-h,12.3.2.3,12.3.2.3 Maintenance of Specified Levels,Maintain block levels,“MAINTAIN BLOCK (level) TO (level).”,ATC,Pilot,Instruction,“MAINTAIN BLOCK FL 340 TO FL 360.”,MAINTAIN BLOCK,level
12.3.2.4-b,12.3.2.4,12.3.2.4 Specification of Cruising Levels,Cross at specific time and level,“CROSS (point) AT (time) OR LATER (or BEFORE) AT (level).”,ATC,Pilot,Instruction,“CROSS GILEP AT 12:35 OR LATER AT FL 200.”,CROSS LATER BEFORE,"point, time, or BEFORE, level"
12.3.2.4-c,12.3.2.4,12.3.2.4 Specification of Cruising Levels,Cruise climb between levels,“CRUISE CLIMB BETWEEN (levels) (or ABOVE (level)).”,ATC,Pilot,Clearance,“CRUISE CLIMB BETWEEN FL 290 AND FL 350.”,CRUISE CLIMB BETWEEN ABOVE,"levels, or ABOVE (level"
12.3.2.4-d,12.3.2.4,12.3.2.4 Specification of Cruising Levels,Cross distance from DME or point at level,“CROSS (distance) MILES (GNSS or DME) (direction) OF (station) OR (distance) (direction) OF (point) AT (level).”,ATC,Pilot,Instruction,“CROSS 20 MILES EAST OF PEST AT FL 180.”,CROSS MILES GNSS DME,"distance, GNSS or DME, direction, station, point, level"
12.3.2.5-b,12.3.2.5,12.3.2.5 Emergency Descent,Broadcast to nearby aircraft,“ATTENTION ALL AIRCRAFT IN THE VICINITY OF [or AT] (point) EMERGENCY DESCENT IN PROGRESS FROM (level).”,ATC,All aircraft,Emergency Broadcast,“ATTENTION ALL AIRCRAFT IN THE VICINITY OF WIEN EMERGENCY DESCENT IN PROGRESS FROM FL 330.”,ATTENTION ALL AIRCRAFT VICINITY EMERGENCY DESCENT PROGRESS FROM,"point, level"
12.3.2.8-b,12.3.2.8,12.3.2.8 Separation Instructions,Ability to cross at time/level,“ADVISE IF ABLE TO CROSS (point) AT (time or level).”,ATC,Pilot,Coordination,—,ADVISE ABLE CROSS,"point, time or level"
12.3.2.8-c,12.3.2.8,12.3.2.8 Separation Instructions,Maintain Mach number,“MAINTAIN MACH (number) [OR GREATER/LESS] [UNTIL (point)].”,ATC,Pilot,Speed Control,“MAINTAIN MACH .80 UNTIL DEBRECEN.”,MAINTAIN MACH GREATER LESS UNTIL,"number, point"
12.3.2.8-d,12.3.2.8,12.3.2.8 Separation Instructions,Restrict maximum Mach,“DO NOT EXCEED MACH (number).”,ATC,Pilot,Speed Control,“DO NOT EXCEED MACH .82.”,NOT EXCEED MACH,number
12.3.2.8-e,12.3.2.8,12.3.2.8 Separation Instructions,Confirm track establishment,“CONFIRM ESTABLISHED ON THE TRACK BETWEEN (point) AND (point) [WITH ZERO OFFSET].”,ATC,Pilot,Verification,“CONFIRM ESTABLISHED ON THE TRACK BETWEEN PUSTA AND SOPAV WITH ZERO OFFSET.”,CONFIRM ESTABLISHED TRACK BETWEEN ZERO OFFSET,point
12.3.2.8-f,12.3.2.8,12.3.2.8 Separation Instructions,Pilot confirms track establishment,“ESTABLISHED ON THE TRACK BETWEEN (point) AND (point) [WITH ZERO OFFSET].”,Pilot,ATC,Report,“ESTABLISHED ON THE TRACK BETWEEN PUSTA AND SOPAV WITH ZERO OFFSET.”,ESTABLISHED TRACK BETWEEN ZERO OFFSET,point
12.3.2.8-g,12.3.2.8,12.3.2.8 Separation Instructions,Maintain and report established,“MAINTAIN TRACK BETWEEN (point) AND (point). REPORT ESTABLISHED ON THE TRACK.”,ATC,Pilot,Instruction,—,MAINTAIN TRACK BETWEEN REPORT ESTABLISHED,point
12.3.2.8-h,12.3.2.8,12.3.2.8 Separation Instructions,Pilot reports established on track,“ESTABLISHED ON THE TRACK.”,Pilot,ATC,Report,—,ESTABLISHED TRACK,
12.3.2.8-i,12.3.2.8,12.3.2.8 Separation Instructions,Confirm zero offset,“CONFIRM ZERO OFFSET.”,ATC,Pilot,Query,—,CONFIRM ZERO OFFSET,
12.3.2.8-j,12.3.2.8,12.3.2.8 Separation Instructions,Pilot confirms zero offset,“AFFIRM ZERO OFFSET.”,Pilot,ATC,Confirmation,—,AFFIRM ZERO OFFSET,
12.3.2.9-b,12.3.2.9,12.3.2.9 Instructions Associated with Flying an Offset Track,Clearance to fly offset,“PROCEED OFFSET (distance) RIGHT/LEFT OF (route) (track) [CENTRE LINE] [AT (point or time)] [UNTIL (point or time)].”,ATC,Pilot,Clearance,“PROCEED OFFSET 2 NM RIGHT OF TRACK AT DEBRECEN UNTIL SOPAV.”,PROCEED OFFSET RIGHT LEFT CENTRE LINE UNTIL,"distance, route, track, point or time"
12.3.2.9-c,12.3.2.9,12.3.2.9 Instructions Associated with Flying an Offset Track,Cancel offset,“CANCEL OFFSET (instructions to rejoin cleared flight route or other information).”,ATC,Pilot,Instruction,"“CANCEL OFFSET, REJOIN CLEARED ROUTE.”",CANCEL OFFSET,instructions to rejoin cleared flight route or other information
12.3.3.1-b,12.3.3.1,12.3.3.1 Departure Instructions,Continue after reaching or passing point,“AFTER REACHING (or PASSING) (level or point) (instructions).”,ATC,Pilot,Conditional Instruction,“AFTER REACHING FL 100 CONTACT BUDAPEST CONTROL.”,AFTER REACHING PASSING,"or PASSING, level or point, instructions"
12.3.3.1-c,12.3.3.1,12.3.3.1 Departure Instructions,Turn to intercept route,"“TURN RIGHT (or LEFT) HEADING (three digits) TO (level) [TO INTERCEPT (track, route, airway, etc.)].”",ATC,Pilot,Instruction,“TURN RIGHT HEADING 300 TO FL 60 TO INTERCEPT AIRWAY L602.”,TURN RIGHT LEFT HEADING INTERCEPT,"or LEFT, three digits, level, track, route, airway, etc."
12.3.3.1-d,12.3.3.1,12.3.3.1 Departure Instructions,Clearance for standard departure,“(Standard departure name and number) DEPARTURE.”,ATC,Pilot,Clearance,“KOPAV TWO ALPHA DEPARTURE.”,DEPARTURE,Standard departure name and number
